timestamp,gyrX,gyrY,gyrZ
221000,-91.370,-92.224,24.902
221010,-91.370,-92.224,24.902
221020,-92.834,-83.984,21.301
221100,-92.834,-83.984,21.301
221110,-92.834,-83.984,21.301
221120,-92.957,-71.045,17.334
221201,-92.957,-71.045,17.334
221211,-92.957,-55.420,12.268
221221,-88.745,-56.152,12.268
222001,-88.745,-56.152,12.268
222011,-80.383,-41.260,5.493
222022,-80.383,-41.260,5.493
222102,-80.383,-41.260,5.493
222112,-71.472,-27.344,-1.343
222122,-71.472,-27.344,-1.343
222210,-63.660,-15.320,-6.287
222220,-63.660,-15.320,-6.287
1000000,-63.660,-15.320,-6.287
1000010,-58.228,-6.958,-9.949
1000021,-58.228,-6.958,-9.949
1000101,-58.228,-3.296,-11.414
1000111,-55.237,-3.296,-11.414
1000121,-55.237,-3.296,-11.414
1000202,-53.101,-2.625,-10.803
1000212,-53.101,-2.625,-10.803
1000222,-53.101,-2.625,-10.803
1001010,-49.805,-3.357,-9.338
1001020,-49.805,-3.357,-9.338
1001100,-44.373,-4.333,-7.996
1001110,-44.373,-4.333,-7.996
1001121,-44.373,-4.333,-7.996
1001201,-36.621,-4.944,-6.409
1001211,-36.621,-4.944,-6.409
1001221,-27.893,-4.517,-4.028
1002001,-27.893,-4.517,-4.028
1002012,-27.893,-4.517,-4.028
1002022,-18.250,-3.967,-2.319
1002102,-18.250,-3.967,-2.319
1002120,-2.625,-4.272,-1.587
1002200,-8.057,-4.272,-1.587
1002210,-8.057,-4.272,-1.587
1002220,0.732,-5.249,-1.831
1010001,0.732,-5.249,-1.831
1010011,0.732,-5.249,-1.831
1010021,7.996,-5.371,-2.197
1010101,7.996,-5.371,-2.197
1010111,14.343,-3.601,-2.869
1010121,14.343,-3.601,-2.869
1010202,14.343,-3.601,-2.869
1010212,20.203,-0.916,-3.723
1010222,20.203,-0.916,-3.723
1011002,20.203,-0.916,-4.944
1011012,26.550,1.160,-4.944
1011022,26.550,1.160,-4.944
1011102,32.166,2.136,-6.653
1011120,32.166,2.136,-6.653
1011200,32.166,2.136,-6.653
1011210,38.818,2.380,-7.324
1011220,38.818,2.380,-7.324
1012000,38.818,2.380,-7.324
1012010,44.983,2.319,-6.897
1012020,44.983,2.319,-6.897
1012100,60.608,3.601,-5.493
1012110,49.805,3.601,-5.493
1012120,49.805,3.601,-5.493
1012200,55.115,7.690,-3.235
1012210,55.115,7.690,-3.235
1012220,55.115,7.690,-3.235
1020000,62.927,13.184,-2.502
1020011,62.927,13.184,-2.502
1020021,62.927,13.184,-2.502
1020101,72.083,18.433,-3.235
1020111,72.083,18.433,-3.235
1020121,80.688,23.315,-5.310
1020201,80.688,23.315,-5.310
1020211,80.688,23.315,-5.310
1020221,90.271,27.527,-6.714
1021001,90.271,27.527,-6.714
1021011,90.271,27.527,-6.714
1021021,101.501,31.372,-7.446
1021102,101.501,31.372,-7.446
1021112,101.501,34.241,-7.996
1021122,112.183,34.241,-7.996
1021202,112.183,34.241,-7.996
1021212,121.887,34.790,-7.690
1021222,121.887,34.790,-7.690
1022002,121.887,34.790,-7.690
1022012,132.080,32.532,-6.470
1022022,132.080,32.532,-6.470
1022102,132.080,32.532,-6.470
1022112,141.907,28.015,-4.211
1022122,141.907,28.015,-4.211
1022202,148.254,22.461,-2.258
1022220,148.254,22.461,-2.258
1100000,148.254,22.461,-2.258
1100010,150.635,17.761,-1.160
1100020,150.635,17.761,-1.160
1100100,150.635,17.761,-1.160
1100110,151.367,16.113,-1.465
1100120,151.367,16.113,-1.465
1100200,151.367,18.188,-3.967
1100210,149.353,18.188,-3.967
1100221,149.353,18.188,-3.967
1101001,142.761,23.132,-8.789
1101011,142.761,23.132,-8.789
1101021,142.761,23.132,-8.789
1101101,135.132,32.532,-16.113
1101111,135.132,32.532,-16.113
1101121,135.132,32.532,-16.113
1101201,128.296,45.837,-26.794
1101211,128.296,45.837,-26.794
1101221,122.253,57.983,-38.452
1102001,122.253,57.983,-38.452
1102011,122.253,57.983,-38.452
1102022,115.540,66.101,-48.279
1102102,115.540,66.101,-48.279
1102112,115.540,66.101,-48.279
1102122,107.483,71.045,-53.833
1102202,107.483,71.045,-53.833
1102212,107.483,73.486,-54.138
1102222,99.609,73.486,-54.138
1110002,99.609,73.486,-54.138
1110012,95.459,72.388,-50.293
1110022,95.459,72.388,-50.293
1110102,95.459,72.388,-50.293
1110120,93.567,69.275,-44.739
1110200,93.567,69.275,-44.739
1110210,93.567,69.275,-44.739
1110220,91.675,65.552,-38.757
1111000,91.675,65.552,-38.757
1111010,88.135,60.242,-32.227
1111020,88.135,60.242,-32.227
1111100,88.135,60.242,-32.227
1111110,82.275,54.260,-26.428
1111120,82.275,54.260,-26.428
1111201,82.275,54.260,-26.428
1111211,74.951,51.208,-22.278
1111221,74.951,51.208,-22.278
1112001,66.467,49.805,-19.592
1112011,66.467,49.805,-19.592
1112021,66.467,49.805,-19.592
1112101,58.044,47.852,-17.700
1112111,58.044,47.852,-17.700
1112121,58.044,47.852,-17.700
1112201,48.706,45.471,-15.625
1112211,48.706,45.471,-15.625
1112221,48.706,45.471,-12.939
1120001,39.185,43.213,-12.939
1120012,39.185,43.213,-12.939
1120022,31.494,39.917,-10.193
1120102,31.494,39.917,-10.193
1120112,31.494,39.917,-10.193
1120122,26.184,35.278,-6.714
1120202,26.184,35.278,-6.714
1120212,26.184,35.278,-6.714
1120222,21.667,32.898,-2.075
1121002,21.667,32.898,-2.075
1121020,17.151,33.691,4.028
1121100,17.151,33.691,4.028
1121110,17.151,33.691,4.028
1121120,13.916,35.828,10.193
1121200,13.916,35.828,10.193
1121210,13.916,35.828,10.193
1121220,11.841,36.621,14.160
1121222,11.841,36.621,14.160
1122002,11.841,36.621,14.160
1122012,9.399,36.133,15.259
1122022,9.399,36.133,15.259
1122110,9.399,36.133,13.916
1122112,6.409,35.461,13.916
1122122,6.409,35.461,13.916
1122202,4.211,34.363,11.292
1122220,4.211,34.363,11.292
1122222,4.211,34.363,11.292
1200002,3.296,32.654,9.338
1200020,3.296,32.654,9.338
1200022,3.296,32.654,9.338
1200102,1.526,31.677,9.094
1200120,1.526,31.677,9.094
1200122,1.526,31.677,9.094
1200210,-0.977,31.677,9.705
1200220,-0.977,31.677,9.705
1201000,-0.977,31.738,9.644
1201010,-3.540,31.738,9.644
1201020,-3.540,31.738,9.644
1201100,-4.944,30.640,7.935
1201110,-4.944,30.640,7.935
1201120,-4.944,30.640,7.935
1201200,-6.104,27.954,4.944
1201210,-6.104,27.954,4.944
1201221,-6.104,27.954,0.854
1202001,-8.240,24.902,0.854
1202011,-8.240,24.902,0.854
1202021,-10.864,22.644,-2.197
1202101,-10.864,22.644,-2.197
1202111,-10.864,22.644,-2.197
1202122,-13.855,21.301,-4.272
1202202,-13.855,21.301,-4.272
1202212,-13.855,20.020,-6.287
1202222,-17.456,20.020,-6.287
1210002,-17.456,20.020,-6.287
1210012,-21.790,18.738,-7.568
1210100,-21.790,18.738,-7.568
1210110,-21.790,18.738,-7.568
1210120,-27.588,18.555,-7.202
1210200,-27.588,18.555,-7.202
1210210,-34.851,19.043,-5.432
1210220,-34.851,19.043,-5.432
1211001,-34.851,19.043,-5.432
1211011,-41.748,19.226,-3.418
1211021,-41.748,19.226,-3.418
1211101,-41.748,19.226,-3.418
1211111,-48.035,18.188,-2.563
1211121,-48.035,18.188,-2.563
1211202,-53.711,16.113,-2.319
1211212,-53.711,16.113,-2.319
1211222,-53.711,16.113,-2.319
1212002,-59.387,14.160,-2.197
1212012,-59.387,14.160,-2.197
1212100,-59.387,14.160,-2.014
1212110,-64.636,12.939,-2.014
1212120,-64.636,12.939,-2.014
1212200,-68.726,11.414,-1.709
1212210,-68.726,11.414,-1.709
1212221,-68.726,11.414,-1.709
1220001,-73.120,8.850,-0.854
1220011,-73.120,8.850,-0.854
1220021,-73.120,5.066,1.831
1220101,-77.393,5.066,1.831
1220111,-77.393,5.066,1.831
1220121,-81.970,-0.671,6.348
1220201,-81.970,-0.671,6.348
1220211,-81.970,-0.671,6.348
1220222,-86.487,-7.874,13.916
1221002,-86.487,-7.874,13.916
1221012,-86.487,-17.151,24.353
1221022,-91.614,-17.151,24.353
1221102,-91.614,-17.151,24.353
1221120,-96.802,-28.625,33.264
1221200,-96.802,-28.625,33.264
1221210,-96.802,-28.625,33.264
1221220,-100.708,-41.931,37.476
1222001,-100.708,-41.931,37.476
1222011,-103.699,-55.054,36.621
1222021,-103.699,-55.054,36.621
1222101,-103.699,-55.054,36.621
1222111,-105.103,-64.575,35.339
1222121,-105.103,-64.575,35.339
1222202,-105.103,-64.575,35.339
1222212,-106.384,-69.275,36.255
1222222,-106.384,-69.275,36.255
2000002,-108.948,-70.923,36.255
2000012,-108.948,-70.923,36.255
2000022,-108.948,-70.923,36.255
2000110,-109.802,-71.411,33.264
2000120,-109.802,-71.411,33.264
2000200,-109.802,-71.411,25.513
2000210,-109.192,-72.571,25.513
2000220,-109.192,-72.571,25.513
2001000,-108.521,-72.510,15.320
2001011,-108.521,-72.510,15.320
2001021,-108.521,-72.510,15.320
2001101,-112.000,-67.139,6.165
2001111,-112.000,-67.139,6.165
2001121,-117.859,-56.702,1.221
2001202,-117.859,-56.702,1.221
2001212,-117.859,-56.702,1.221
2001222,-122.681,-49.866,2.869
2002002,-122.681,-49.866,2.869
2002012,-122.681,-49.866,2.869
2002100,-123.901,-52.917,10.803
2002110,-123.901,-52.917,10.803
2002120,-119.507,-68.054,24.475
2002200,-119.507,-68.054,24.475
2002210,-119.507,-68.054,24.475
2002221,-114.319,-92.590,39.124
2010001,-114.319,-92.590,39.124
2010011,-114.319,-123.840,45.898
2010021,-104.492,-115.417,45.898
2010101,-104.492,-115.417,45.898
2010112,-102.905,-129.089,48.218
2010122,-102.905,-129.089,48.218
2010202,-102.905,-129.089,48.218
2010212,-106.201,-127.686,45.410
2010222,-106.201,-127.686,45.410
2011002,-106.201,-117.126,39.368
2011012,-117.065,-117.126,39.368
2011100,-117.065,-117.126,39.368
2011110,-126.160,-105.347,29.724
2011120,-126.160,-105.347,29.724
2011200,-126.160,-105.347,29.724
2011210,-132.996,-95.398,17.334
2011221,-132.996,-95.398,17.334
2012001,-137.268,-90.332,12.756
2012011,-137.268,-90.332,12.756
2012021,-137.268,-90.332,12.756
2012101,-137.695,-95.337,16.479
2012111,-137.695,-95.337,16.479
2012122,-137.695,-95.337,16.479
