timestamp,gyrX,gyrY,gyrZ
1110121,1.038,-2.014,4.089
1110201,1.038,-2.014,4.089
1110211,0.793,-2.197,4.028
1110221,0.793,-2.197,4.028
1111001,0.793,-2.197,4.028
1111011,-0.549,-1.282,3.540
1111021,-0.549,-1.282,3.540
1111101,-0.549,-1.282,3.540
1111111,-1.831,0.122,3.174
1111121,-1.831,0.122,3.174
1111201,-2.808,1.160,3.052
1111211,-2.808,1.160,3.052
1111221,-2.808,1.160,3.052
1112001,-3.540,1.587,3.235
1112012,-3.540,1.587,3.235
1112022,-3.540,1.587,3.235
1112102,-3.784,1.404,3.601
1112112,-3.784,1.404,3.601
1112122,-3.784,1.404,3.601
1112202,-3.479,0.793,3.723
1112212,-3.479,0.793,3.723
1112222,-2.747,0.305,3.479
1120002,-2.747,0.305,3.479
1120012,-2.747,0.305,3.479
1120022,-1.953,0.854,3.418
1120102,-1.953,0.854,3.418
1120112,-1.953,0.854,3.418
1120122,-1.038,1.770,3.113
1120202,-1.038,1.770,3.113
1120212,-1.038,1.770,3.113
1120222,-0.183,2.136,2.747
1121002,-0.183,2.136,2.747
1121012,0.854,1.953,2.258
1121022,0.854,1.953,2.258
1121102,0.854,1.953,2.258
1121112,1.648,1.526,1.831
1121122,1.648,1.526,1.831
1121202,1.648,1.526,1.831
1121212,2.197,1.160,1.770
1121222,2.197,1.160,1.770
1122002,2.197,1.160,1.770
1122012,2.686,1.465,1.648
1122022,2.686,1.465,1.648
1122102,2.686,1.465,1.648
1122112,2.258,1.648,1.648
1122122,2.258,1.648,1.648
1122202,2.014,1.587,1.648
1122212,2.014,1.587,1.648
1122222,2.014,1.587,1.648
1200002,1.953,1.404,1.709
1200012,1.953,1.404,1.709
1200022,1.953,1.404,1.709
1200102,2.075,1.343,1.831
1200112,2.075,1.343,1.831
1200122,2.075,1.343,1.831
1200202,2.014,1.709,2.014
1200212,2.014,1.709,2.014
1200222,2.014,1.709,2.502
1201002,1.465,2.380,2.502
1201012,1.465,2.380,2.502
1201022,1.221,3.113,2.991
1201102,1.221,3.113,2.991
1201112,1.221,3.113,2.991
1201122,0.549,3.662,3.357
1201202,0.549,3.662,3.357
1201212,0.549,3.662,3.357
1201222,0.305,3.845,3.418
1202002,0.305,3.845,3.418
1202012,0.305,3.845,3.418
1202022,0.000,3.601,3.479
1202102,0.000,3.601,3.479
1202112,0.000,3.601,3.662
1202122,-0.671,3.540,3.662
1202202,-0.671,3.540,3.662
1202212,-1.343,3.174,3.662
1210000,-1.343,3.174,3.662
1210010,-1.343,3.174,3.662
1210020,-1.465,3.113,2.930
1210100,-1.465,3.113,2.930
1210110,-1.465,3.113,2.930
1210120,-1.587,3.418,2.625
1210200,-1.587,3.418,2.625
1210210,-1.587,3.174,2.991
1210220,-1.404,3.174,2.991
1211000,-1.404,3.174,2.991
1211010,-1.465,2.563,3.479
1211020,-1.465,2.563,3.479
1211100,-1.465,2.563,3.479
1211110,-1.099,1.892,3.113
1211120,-1.099,1.892,3.113
1211201,-1.099,1.892,3.113
1211211,-0.549,1.526,2.563
1211221,-0.549,1.526,2.563
1212001,0.122,1.892,2.319
1212011,0.122,1.892,2.319
1212021,0.122,1.892,2.319
1212101,0.427,2.747,2.014
1212110,0.427,2.747,2.014
1212120,0.427,2.747,2.014
1212200,0.488,3.662,1.892
1212210,0.488,3.662,1.892
1212220,0.488,3.662,1.892
1220000,0.183,4.395,1.404
1220010,0.183,4.395,1.404
1220020,0.183,4.395,1.404
1220100,-0.305,4.822,1.160
1220110,-0.305,4.822,1.160
1220120,-0.305,4.883,1.282
1220200,-1.099,4.883,1.282
1220211,-1.099,4.883,1.282
1220221,-1.404,4.395,1.526
1221001,-1.404,4.395,1.526
1221011,-1.404,4.395,1.526
1221021,-1.221,3.479,2.075
1221101,-1.221,3.479,2.075
1221111,-1.221,3.479,2.075
1221121,-1.099,2.747,2.441
1221201,-1.099,2.747,2.441
1221211,-0.671,2.686,2.380
1221221,-0.671,2.686,2.380
1222001,-0.671,2.686,2.380
1222011,-0.427,2.808,1.770
1222021,-0.427,2.808,1.770
1222101,-0.427,2.808,1.770
1222111,-0.671,2.991,1.282
1222121,-0.671,2.991,1.282
1222202,-0.671,2.991,1.282
1222212,-0.854,2.869,0.977
1222222,-0.854,2.869,0.977
2000002,-0.366,2.380,0.916
2000012,-0.366,2.380,0.916
2000022,-0.366,2.380,0.916
2000102,0.427,1.709,0.732
2000112,0.427,1.709,0.732
2000122,0.427,1.709,0.732
2000202,1.282,1.160,1.038
2000212,1.282,1.160,1.038
2000222,1.282,1.160,1.038
2001002,1.892,0.549,1.709
2001012,1.892,0.549,1.709
2001022,1.892,0.549,1.892
2001102,2.197,0.183,1.892
2001112,2.197,0.183,1.892
2001122,1.892,0.244,1.831
2001201,1.892,0.244,1.831
2001211,1.892,0.244,1.831
2001221,1.465,0.732,1.587
2002001,1.465,0.732,1.587
2002011,1.465,0.732,1.587
2002021,0.488,1.465,1.465
2002101,0.488,1.465,1.465
2002111,0.488,1.465,1.465
2002121,-0.366,1.648,1.160
2002201,-0.366,1.648,1.160
2002211,-0.366,1.648,1.160
2002221,-0.671,1.770,1.160
2010002,-0.671,1.770,1.160
2010012,-0.305,1.587,1.404
2010022,-0.305,1.587,1.404
2010102,-0.305,1.587,1.404
2010112,0.000,1.099,1.709
2010122,0.000,1.099,1.709
2010202,0.000,1.099,1.709
2010212,-0.061,0.671,1.648
2010221,-0.061,0.671,1.648
2011002,-0.061,0.671,1.648
2011012,0.366,0.732,1.465
2011021,0.366,0.732,1.465
2011101,0.366,0.732,0.977
2011111,0.732,0.671,0.977
2011121,0.732,0.671,0.977
2011201,1.160,0.549,0.671
2011211,1.160,0.549,0.671
2011221,1.160,0.549,0.671
2012001,1.404,0.122,0.854
2012011,1.404,0.122,0.854
2012021,1.404,0.122,0.854
2012101,1.587,-0.916,1.587
2012111,1.587,-0.916,1.587
2012121,1.587,-0.916,1.587
2012201,1.709,-1.526,2.014
2012211,1.709,-1.526,2.014
2012222,1.709,-1.709,2.563
2020002,1.709,-1.709,2.563
2020012,1.709,-1.709,2.563
2020022,1.648,-1.343,2.991
2020102,1.648,-1.343,2.991
2020112,1.648,-1.343,2.991
2020122,1.343,-0.366,3.418
2020202,1.343,-0.366,3.418
2020212,1.343,-0.366,3.418
2020222,0.732,0.671,3.906
2021002,0.732,0.671,3.906
2021012,0.732,1.526,4.211
2021022,0.305,1.526,4.211
2021102,0.305,1.526,4.211
2021112,0.244,2.136,4.028
2021122,0.244,2.136,4.028
2021202,0.244,2.136,4.028
2021212,0.671,2.686,3.540
2021222,0.671,2.686,3.540
2022002,0.671,2.686,3.540
2022012,1.282,2.930,3.418
2022022,1.282,2.930,3.418
2022102,1.282,2.930,3.418
2022112,1.709,3.235,3.784
2022122,1.709,3.235,3.784
2022202,1.709,3.296,3.906
2022212,1.831,3.296,3.906
2022222,1.831,3.296,3.906
2100002,2.014,2.930,3.662
2100012,2.014,2.930,3.662
2100022,2.014,2.930,3.662
2100102,2.380,2.991,3.174
2100112,2.380,2.991,3.174
2100122,2.380,2.991,3.174
2100202,3.052,4.089,3.235
2100212,3.052,4.089,3.235
2100222,3.052,4.089,3.235
2101002,4.089,5.249,3.296
2101012,4.089,5.249,3.296
2101022,4.089,5.249,3.174
2101102,4.517,5.798,3.174
2101112,4.517,5.798,3.174
2101122,4.456,5.920,2.930
2101202,4.456,5.920,2.930
2101212,4.456,5.920,2.930
2101222,4.333,5.859,2.625
2102002,4.333,5.859,2.625
2102012,4.333,5.859,2.625
2102021,4.395,5.615,2.502
2102101,4.395,5.615,2.502
2102111,4.395,5.615,2.502
2102121,4.395,5.127,2.991
2102201,4.395,5.127,2.991
2102211,4.395,5.127,2.991
