timestamp,gyrX,gyrY,gyrZ
100202010,2.258,-0.183,2.075
100202020,1.953,0.122,2.441
100202100,1.953,0.122,2.441
100202110,1.953,0.122,2.441
100202120,0.916,0.244,2.563
100202200,0.916,0.244,2.563
100202210,0.916,0.244,2.563
100202220,0.000,0.610,2.930
100210000,0.000,0.610,2.930
100210010,0.000,0.610,2.930
100210020,-0.671,0.977,3.174
100210100,-0.671,0.977,3.174
100210110,-0.671,1.038,3.235
100210120,-0.671,1.038,3.235
100210200,-0.671,1.038,3.235
100210210,0.000,0.854,3.540
100210220,0.000,0.854,3.540
100211000,0.000,0.854,3.540
100211010,0.977,0.793,3.845
100211020,0.977,0.793,3.845
100211100,0.977,0.793,3.845
100211110,1.709,0.366,4.211
100211120,1.709,0.366,4.211
100211200,1.709,-0.061,4.578
100211210,1.709,-0.061,4.578
100211220,1.709,-0.061,4.578
100212000,1.587,-0.366,4.822
100212010,1.587,-0.366,4.822
100212020,1.587,-0.366,4.822
100212101,1.892,-0.244,4.761
100212111,1.892,-0.244,4.761
100212121,1.892,-0.244,4.761
100212201,2.014,0.244,4.089
100212211,2.014,0.244,4.089
100212221,1.953,0.977,3.601
100220001,1.953,0.977,3.601
100220011,1.953,0.977,3.601
100220021,1.099,1.648,3.357
100220101,1.099,1.648,3.357
100220111,1.099,1.648,3.357
100220121,-0.061,1.770,3.601
100220201,-0.061,1.770,3.601
100220211,-0.061,1.770,3.601
100220221,-0.610,1.709,4.089
100221001,-0.610,1.709,4.089
100221011,-0.427,1.099,4.517
100221021,-0.427,1.099,4.517
100221101,-0.427,1.099,4.517
100221112,0.793,0.793,4.883
100221122,0.793,0.793,4.883
100221202,0.793,0.793,4.883
100221212,1.831,0.610,4.883
100221222,1.831,0.610,4.883
100222002,1.831,0.610,4.883
100222012,2.380,0.488,5.188
100222022,2.380,0.488,5.188
100222102,2.380,0.366,5.432
100222112,2.686,0.366,5.432
100222122,2.686,0.366,5.432
100222202,2.502,-0.183,5.615
100222212,2.502,-0.183,5.615
100222222,2.502,-0.183,5.615
101000002,2.686,-0.671,5.737
101000012,2.686,-0.671,5.737
101000022,2.686,-0.671,5.737
101000102,3.296,-1.221,5.493
101000112,3.296,-1.221,5.493
101000122,3.845,-1.282,4.822
101000210,3.845,-1.282,4.822
101000220,3.845,-1.282,4.822
101001000,3.723,-1.038,4.211
101001010,3.723,-1.038,4.211
101001020,3.723,-1.038,4.211
101001100,3.113,-0.549,3.723
101001110,3.113,-0.549,3.723
101001120,3.113,-0.549,3.357
101001200,1.709,-0.366,3.357
101001210,1.709,-0.366,3.357
101001220,0.427,-0.488,2.747
101002000,0.427,-0.488,2.747
101002010,0.427,-0.488,2.747
101002021,-0.610,-0.793,2.075
101002101,-0.610,-0.793,2.075
101002111,-0.610,-0.793,2.075
101002121,-1.587,-1.221,1.526
101002201,-1.587,-1.221,1.526
101002211,-2.319,-1.526,1.343
101002221,-2.319,-1.526,1.343
101010002,-2.319,-1.526,1.343
101010012,-2.014,-1.526,1.526
101010022,-2.014,-1.526,1.526
101010102,-2.014,-1.526,1.526
101010112,-1.160,-1.343,1.648
101010122,-1.160,-1.343,1.648
101010202,-0.549,-1.160,2.014
101010220,-0.549,-1.160,2.014
101011000,-0.549,-1.160,2.014
101011010,0.305,-1.038,1.831
101011020,0.305,-1.038,1.831
101011100,0.305,-1.038,1.831
101011110,1.343,-1.038,1.038
101011120,1.343,-1.038,1.038
101011201,2.075,-0.610,-0.183
101011211,2.075,-0.610,-0.183
101011221,2.075,-0.610,-0.183
101012001,2.563,0.793,-1.343
101012011,2.563,0.793,-1.343
101012021,2.563,0.793,-1.343
101012101,2.258,2.747,-2.136
101012112,2.258,2.747,-2.136
101012122,1.526,4.150,-2.380
101012202,1.526,4.150,-2.380
101012212,1.526,4.150,-2.380
101012222,0.488,4.944,-2.075
101020002,0.488,4.944,-2.075
101020012,0.488,4.944,-2.075
101020022,-0.549,4.578,-1.282
101020102,-0.549,4.578,-1.282
101020120,-1.099,2.747,-0.366
101020200,-1.099,2.747,-0.366
101020210,-1.099,2.747,-0.366
101020220,-0.671,0.549,0.671
101021000,-0.671,0.549,0.671
101021010,-0.671,0.549,0.671
101021020,0.305,-1.587,2.075
101021100,0.305,-1.587,2.075
101021111,0.305,-3.784,2.686
101021121,0.244,-3.784,2.686
101021201,0.244,-3.784,2.686
101021211,-0.793,-5.371,2.441
101021221,-0.793,-5.371,2.441
101022001,-0.793,-5.371,2.441
101022011,-2.136,-6.165,1.648
101022022,-2.136,-6.165,1.648
101022102,-3.113,-5.920,-0.305
101022112,-3.113,-5.920,-0.305
101022122,-3.113,-5.920,-0.305
101022210,-3.357,-5.310,-2.808
101022220,-3.357,-5.310,-2.808
101100000,-3.357,-5.310,-6.226
101100010,-2.991,-4.333,-6.226
101100021,-2.991,-4.333,-6.226
101100101,-1.648,-4.089,-9.033
101100111,-1.648,-4.089,-9.033
101100122,-1.648,-4.089,-9.033
101100202,1.038,-5.615,-9.216
101100212,1.038,-5.615,-9.216
101100222,4.211,-8.667,-7.141
101101002,4.211,-8.667,-7.141
101101020,4.211,-8.667,-7.141
101101100,8.484,-13.733,-3.662
101101110,8.484,-13.733,-3.662
101101120,8.484,-20.325,-0.366
101101200,12.878,-20.325,-0.366
101101211,12.878,-20.325,-0.366
101101221,16.235,-26.855,3.418
101102001,16.235,-26.855,3.418
101102011,16.235,-26.855,3.418
101102021,17.578,-31.189,5.737
101102101,17.578,-31.189,5.737
101102111,17.578,-32.593,6.104
101102121,16.968,-32.593,6.104
101102201,16.968,-32.593,6.104
101102212,15.320,-30.273,4.272
101102222,15.320,-30.273,4.272
101110002,15.320,-30.273,4.272
101110012,12.695,-25.330,1.160
101110022,12.695,-25.330,1.160
101110102,12.695,-25.330,1.160
101110112,9.399,-18.494,-1.953
101110122,9.399,-18.494,-1.953
101110202,6.531,-11.047,-4.761
101110220,6.531,-11.047,-4.761
101111000,6.531,-11.047,-4.761
101111010,2.502,-3.601,-6.714
101111020,2.502,-3.601,-6.714
101111100,2.502,-3.601,-6.714
101111111,-4.517,3.784,-6.714
101111121,-4.517,3.784,-6.714
101111201,-3.540,6.897,-6.104
101111211,-3.540,6.897,-6.104
101111221,-3.540,6.897,-6.104
101112001,1.648,5.493,-4.089
101112011,1.648,5.493,-4.089
101112022,1.648,5.493,-0.610
101112102,7.690,2.197,-0.610
101112112,7.690,2.197,-0.610
101112122,12.451,-1.526,4.456
101112202,12.451,-1.526,4.456
101112212,12.451,-1.526,4.456
101112222,15.259,-4.333,9.644
101120002,15.259,-4.333,9.644
101120012,15.259,-4.333,9.644
101120022,15.076,-4.639,13.000
101120102,15.076,-4.639,13.000
101120120,14.099,-3.174,13.733
101120200,14.099,-3.174,13.733
101120210,14.099,-3.174,13.733
101120220,12.512,-0.488,12.939
101121000,12.512,-0.488,12.939
101121010,12.512,-0.488,12.939
101121020,9.155,4.028,12.390
101121100,9.155,4.028,12.390
101121110,9.155,4.028,12.878
101121120,3.967,10.193,12.878
101121200,3.967,10.193,12.878
101121210,-1.770,17.334,14.587
101121220,-1.770,17.334,14.587
101122000,-1.770,17.334,14.587
101122010,-6.592,24.353,17.456
101122020,-6.592,24.353,17.456
101122101,-6.592,24.353,17.456
101122111,-10.254,30.334,21.057
101122121,-10.254,30.334,21.057
101122201,-10.254,34.973,25.269
101122211,-14.282,34.973,25.269
101122221,-14.282,34.973,25.269
101200001,-19.287,39.063,30.212
101200011,-19.287,39.063,30.212
101200021,-19.287,39.063,30.212
101200101,-26.062,42.908,35.522
101200112,-26.062,42.908,35.522
101200122,-26.062,42.908,35.522
101200202,-33.447,45.105,39.734
101200212,-33.447,45.105,39.734
101200222,-41.748,45.776,42.236
101201002,-41.748,45.776,42.236
101201012,-41.748,45.776,42.236
101201022,-52.368,45.776,43.335
101201102,-52.368,45.776,43.335
101201112,-52.368,45.776,43.335
101201122,-64.453,45.471,43.945
101201202,-64.453,45.471,43.945
101201220,-64.453,45.410,43.335
101202000,-73.669,45.410,43.335
101202010,-73.669,45.410,43.335
101202020,-77.454,45.166,40.955
101202100,-77.454,45.166,40.955
101202110,-77.454,45.166,40.955
101202120,-76.782,43.396,37.781
101202200,-76.782,43.396,37.781
101202210,-76.782,43.396,37.781
101202220,-71.533,37.964,34.546
101210001,-71.533,37.964,34.546
101210011,-63.354,28.137,30.945
101210021,-63.354,28.137,30.945
101210101,-63.354,28.137,30.945
101210111,-62.256,14.893,32.043
101210121,-62.256,14.893,32.043
101210201,-62.256,14.893,32.043
101210211,-45.593,2.869,26.794
101210221,-45.593,2.869,26.794
101211001,-29.785,-2.136,18.494
101211012,-29.785,-2.136,18.494
101211022,-29.785,-2.136,18.494
101211102,-16.846,-7.446,13.672
101211112,-16.846,-7.446,13.672
101211122,-16.846,-7.446,13.672
101211210,-2.258,-6.348,2.014
101211220,-2.258,-6.348,2.014
101212000,-0.549,-6.592,-2.441
101212010,-0.549,-6.592,-2.441
101212020,-0.549,-6.592,-2.441
101212101,11.475,-4.639,-13.062
101212111,11.475,-4.639,-13.062
101212121,11.475,-4.639,-24.353
101212201,19.348,-1.831,-24.353
101212211,19.348,-1.831,-24.353
101212221,19.653,0.427,-29.541
101220002,19.653,0.427,-29.541
101220012,19.653,0.427,-29.541
101220022,18.433,1.831,-34.790
101220102,18.433,1.831,-34.790
101220112,18.433,1.831,-34.790
101220122,15.747,2.258,-36.682
101220202,15.747,2.258,-36.682
101220212,12.024,1.404,-30.396
101220222,12.024,1.404,-30.396
101221002,12.024,1.404,-30.396
101221012,10.742,-1.953,-17.883
101221022,10.742,-1.953,-17.883
101221110,10.742,-1.953,-17.883
101221120,12.695,-8.301,-3.113
101221200,12.695,-8.301,-3.113
101221210,18.005,-18.982,9.460
101221220,18.005,-18.982,9.460
101222000,18.005,-18.982,9.460
101222011,24.170,-29.602,18.799
101222021,24.170,-29.602,18.799
101222101,24.170,-29.602,18.799
101222111,30.579,-33.325,18.127
101222121,30.579,-33.325,18.127
101222201,28.564,-26.978,12.512
101222211,28.564,-26.978,12.512
101222221,28.564,-26.978,12.512
102000001,17.822,-12.634,5.432
102000011,17.822,-12.634,5.432
102000021,17.822,-12.634,5.432
102000102,5.432,3.906,-2.991
102000112,5.432,3.906,-2.991
102000122,5.432,3.906,-12.207
102000202,-2.136,17.944,-12.207
102000212,-2.136,17.944,-12.207
102000222,-6.592,25.635,-18.494
102001002,-6.592,25.635,-18.494
102001012,-6.592,25.635,-18.494
102001100,-8.728,25.940,-20.020
102001110,-8.728,25.940,-20.020
102001120,-8.728,25.940,-16.968
102001200,-9.399,20.325,-16.968
102001210,-9.399,20.325,-16.968
102001221,-11.169,11.414,-9.583
102002001,-11.169,11.414,-9.583
102002011,-11.169,11.414,-9.583
102002021,-14.404,1.953,-0.732
102002101,-14.404,1.953,-0.732
102002111,-16.113,-6.531,7.751
102002122,-16.113,-6.531,7.751
102002202,-16.113,-6.531,7.751
102002212,-14.038,-10.864,13.367
102002222,-14.038,-10.864,13.367
102010002,-14.038,-10.864,13.367
102010012,-9.338,-9.155,14.648
102010100,-9.338,-9.155,14.648
102010110,-4.883,-3.113,13.245
102010120,-4.883,-3.113,13.245
102010200,-4.883,-3.113,13.245
102010210,-1.038,5.066,10.559
102010220,-1.038,5.066,10.559
102011001,-1.038,5.066,10.559
102011011,2.869,13.367,8.362
102011021,2.869,13.367,8.362
102011101,2.869,18.738,8.057
102011111,4.333,18.738,8.057
102011121,4.333,18.738,8.057
102011201,2.380,19.287,10.315
102011211,2.380,19.287,10.315
102011220,2.380,19.287,10.315
102012000,-2.075,14.221,12.939
102012011,-2.075,14.221,12.939
102012021,-2.075,14.221,12.939
102012101,-8.118,6.409,14.526
102012111,-8.118,6.409,14.526
102012121,-8.118,6.409,15.320
102012201,-15.076,-0.122,15.320
102012211,-15.076,-0.122,15.320
102012221,-18.372,-4.761,15.808
102020001,-18.372,-4.761,15.808
102020011,-18.372,-4.761,15.808
102020022,-18.494,-8.362,17.700
102020102,-18.494,-8.362,17.700
102020112,-18.494,-8.362,17.700
102020122,-18.066,-9.827,19.775
102020202,-18.066,-9.827,19.775
102020212,-16.296,-6.653,19.531
102020222,-16.296,-6.653,19.531
102021010,-16.296,-6.653,19.531
102021020,-11.414,-0.977,16.602
102021100,-11.414,-0.977,16.602
102021110,-11.414,14.648,13.855
102021120,-6.714,4.456,13.855
102021200,-6.714,4.456,13.855
102021210,-1.770,8.240,11.902
102021220,-1.770,8.240,11.902
102022001,-1.770,8.240,11.902
102022011,2.747,8.606,11.047
102022021,2.747,8.606,11.047
102022101,2.747,8.606,11.047
102022111,3.479,6.531,12.085
102022121,3.479,6.531,12.085
102022201,3.479,6.531,13.794
102022211,1.831,3.967,13.794
102022221,1.831,3.967,13.794
102100001,2.686,0.000,13.977
102100011,2.686,0.000,13.977
102100021,2.686,0.000,13.977
102100101,5.310,-4.211,14.771
102100111,5.310,-4.211,14.771
102100121,5.310,-4.211,14.771
102100201,5.554,-8.362,15.869
102100211,5.554,-8.362,15.869
102100221,5.554,-8.362,0.244
102101001,2.747,-9.766,15.381
102101011,2.747,-9.766,15.381
102101021,0.427,-7.263,12.756
102101101,0.427,-7.263,12.756
102101111,0.427,-7.263,12.756
102101121,0.122,-2.075,7.080
102101201,0.122,-2.075,7.080
102101211,0.122,-2.075,7.080
102101222,2.563,5.188,0.183
102102002,2.563,5.188,0.183
102102012,2.563,5.188,-5.554
102102022,6.104,13.306,-5.554
102102102,6.104,13.306,-5.554
102102112,10.010,19.470,-9.033
102102122,10.010,19.470,-9.033
102102202,10.010,19.470,-9.033
102102212,11.353,20.081,-9.338
102102222,11.353,20.081,-9.338
102110002,11.353,20.081,-9.338
102110012,9.644,17.761,-8.301
102110022,9.644,17.761,-8.301
102110102,9.644,15.808,-7.507
102110120,7.690,15.808,-7.507
102110200,7.690,15.808,-7.507
102110210,5.249,14.893,-6.714
102110220,5.249,14.893,-6.714
102111000,5.249,14.893,-6.714
102111010,2.258,14.465,-6.470
102111020,2.258,14.465,-6.470
102111100,2.258,14.465,-6.470
102111110,0.366,13.550,-7.996
102111120,0.366,13.550,-7.996
102111200,0.488,12.085,-10.132
102111210,0.488,12.085,-10.132
102111220,0.488,12.085,-10.132
102112000,3.662,10.193,-12.024
102112011,3.662,10.193,-12.024
102112021,3.662,10.193,-12.024
102112101,8.057,9.949,-11.414
102112111,8.057,9.949,-11.414
102112121,8.057,9.949,-7.935
102112201,12.451,11.658,-7.935
102112211,12.451,11.658,-7.935
102112221,17.456,13.489,-3.479
102120001,17.456,13.489,-3.479
102120011,17.456,13.489,-3.479
102120021,23.071,13.184,-0.183
102120101,23.071,13.184,-0.183
102120111,23.071,13.184,-0.183
102120121,27.344,10.620,2.563
102120201,27.344,10.620,2.563
102120211,27.344,10.620,4.517
102120221,27.893,7.751,4.517
102121001,27.893,7.751,4.517
102121011,25.879,6.104,4.089
102121021,25.879,6.104,4.089
102121101,25.879,6.104,4.089
102121111,22.278,6.531,1.282
102121121,22.278,6.531,1.282
102121201,22.278,6.531,1.282
102121211,19.043,8.057,-2.502
102121221,19.043,8.057,-2.502
102122001,19.043,8.057,-2.502
102122011,16.785,9.460,-6.775
102122021,16.785,9.460,-6.775
102122101,16.785,10.803,-10.620
102122112,15.686,10.803,-10.620
102122122,15.686,10.803,-10.620
102122202,16.663,11.230,-13.184
102122212,16.663,11.230,-13.184
102122222,16.663,11.230,-13.184
102200002,22.095,9.277,-14.099
102200012,22.095,9.277,-14.099
102200022,22.095,9.277,-14.099
102200102,30.640,6.165,-13.306
102200112,30.640,6.165,-13.306
102200122,39.368,4.456,-11.292
102200202,39.368,4.456,-11.292
102200212,39.368,4.456,-11.292
102200222,44.128,4.395,-9.277
102201002,44.128,4.395,-9.277
102201020,44.128,4.395,-9.277
102201100,44.556,4.639,-8.667
102201110,44.556,4.639,-8.667
102201120,44.556,4.639,-8.667
102201200,41.626,4.822,-9.644
102201210,41.626,4.822,-9.644
102201220,35.950,5.249,-11.597
102202000,35.950,5.249,-11.597
102202010,35.950,5.249,-11.597
102202020,27.954,5.676,-13.916
102202100,27.954,5.676,-13.916
102202110,27.954,5.676,-13.916
102202120,19.470,5.493,-15.625
102202200,19.470,5.493,-15.625
102202211,19.470,4.883,-16.113
